"Record Set","Primary Classification","Subtype","Name","Description","Product","Domain / Product Category","Commercial Type","Availability","Availability Group","Identifier","Minimum Required Version","Related Joule Assistants","Source","Source Collection","Snapshot Date","Notes"
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Enterprise Service Management","Provide service agents instant access to customer‚ supplier‚ and employee info.","SAP Enterprise Service Management","Customer Relationship Management","Base","Early Adopter Care (EAC)","Early Adopter / EAC","J335","","","https://discovery-center.cloud.sap/ai-feature/e8539290-4654-40f0-9f33-872ed9a12649/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Field Service Management","Streamline dispatching processes with Joule.","SAP Field Service Management","Supply Chain Management","Base","Generally Available","Generally Available","J197","","","https://discovery-center.cloud.sap/ai-feature/d29fce2c-4564-49bf-b633-cbc63ee427d7/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Fieldglass solutions","Enhance efficiencies across hiring processes with AI in SAP Fieldglass.","SAP Fieldglass solutions","Technology Platform","Base","Generally Available","Generally Available","J257","","","https://discovery-center.cloud.sap/ai-feature/e52e6bbc-3b09-4a73-8829-c4ecdeff8560/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Integrated Business Planning","Get quick answers based on product documentation.","SAP Integrated Business Planning","Supply Chain Management","Base","Generally Available","Generally Available","J104","","","https://discovery-center.cloud.sap/ai-feature/7ce53ab4-0c98-44fd-9d6a-5e76fef797fc/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Intelligent Clinical Supply Management","Streamline navigational and informational tasks with Joule.","SAP Intelligent Clinical Supply Management","Supply Chain Management","Base","Generally Available","Generally Available","J332","","","https://discovery-center.cloud.sap/ai-feature/5bc0fbcf-4ce3-48dc-8375-8d2fdb40bc21/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP LeanIX","Search and navigate to the right information through natural language queries.","SAP LeanIX solutions","Business Transformation Management","Base","Early Adopter Care (EAC)","Early Adopter / EAC","J284","","","https://discovery-center.cloud.sap/ai-feature/afef2f21-b812-4548-ab8a-cec5f8fedb10/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Logistics Management","Simplify warehouse and transportation planning operations with natural language.","SAP Logistics Management","Supply Chain Management","Base","Generally Available","Generally Available","J1169","","","https://discovery-center.cloud.sap/ai-feature/60b3ce58-4697-4c44-a5a6-c1649dc67aff/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Multi-Bank Connectivity","Get quick answers about SAP Multi-Bank Connectivity from product documentation.","SAP Multi-Bank Connectivity","Financial Management","Base","Generally Available","Generally Available","J600","","","https://discovery-center.cloud.sap/ai-feature/5cd6a2a6-c3ba-4bf6-9111-5e2f95757a69/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Order Management Services","Streamline key operational tasks using natural language.","SAP Order Management Services","Customer Relationship Management","","Beta","Beta","J1088","","","https://discovery-center.cloud.sap/ai-feature/b9498c45-6944-48e3-bb0e-902c71bef176/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Risk and Assurance Management","Joule provides intuitive navigation and access to relevant enablement content.","SAP Risk and Assurance Management","Financial Management","Base","Generally Available","Generally Available","J731","","","https://discovery-center.cloud.sap/ai-feature/42df6303-500a-46c4-93a6-ecb2d44e85dd/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP S/4HANA Cloud Private Edition","Streamline your informational‚ navigational‚ and transactional tasks.","SAP S/4HANA Cloud Private Edition","Financial Management","Base","Generally Available","Generally Available","J54","SAP S/4HANA 2021 FPS00","","https://discovery-center.cloud.sap/ai-feature/98ee8608-82bb-49c3-b4ca-805bd6594314/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP S/4HANA Cloud Public Edition","Streamline your informational‚ navigational‚ and transactional tasks.","SAP S/4HANA Cloud Public Edition","Financial Management","Base","Generally Available","Generally Available","J74","","","https://discovery-center.cloud.sap/ai-feature/59d61974-9d59-4e32-9026-189462bbf54f/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Sales Cloud Version 2","Enable your sales teams to win deals.","SAP Sales Cloud Version 2","Customer Relationship Management","Base","Early Adopter Care (EAC)","Early Adopter / EAC","J760","","","https://discovery-center.cloud.sap/ai-feature/c93d21db-bf17-402d-99a5-463865957e7f/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Service Cloud Version 2","Provide service agents instant access to customer information.","SAP Service Cloud Version 2","Customer Relationship Management","Base","Early Adopter Care (EAC)","Early Adopter / EAC","J333","","","https://discovery-center.cloud.sap/ai-feature/a7284cf2-cc3a-48aa-b286-42e57b5068b4/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Signavio solutions","Elevate your organization's process management and optimization.","SAP Signavio solutions","Business Transformation Management","Base","Generally Available","Generally Available","J127","","","https://discovery-center.cloud.sap/ai-feature/c1ed93ca-2efd-4096-8300-613adf55cfef/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP SuccessFactors solutions","Elevate the employee experience with an AI copilot.","SAP SuccessFactors solutions","Human Capital Management","Base","Generally Available","Generally Available","J19","","","https://discovery-center.cloud.sap/ai-feature/d513b99f-7ec5-40ba-9e8d-7d9858ba7dca/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with UI theme designer","Help users ask questions related to theming.","UI Theme Designer","Technology Platform","Base","Generally Available","Generally Available","J1286","","","https://discovery-center.cloud.sap/ai-feature/48d7b321-7f38-4f7b-a88a-8ac08c8cc19b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule Work Mobile App","Interact with SAP apps in natural language via a smartphone or a tablet.","SAP Mobile Start","Technology Platform","Base","Generally Available","Generally Available","J761","","","https://discovery-center.cloud.sap/ai-feature/0a10277a-3dfa-4e8d-b287-2d92a9554b54/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Localized Business Data Management","Explore localized financial and logistics data with Joule.","SAP S/4HANA Cloud Public Edition","Cloud ERP applications","Base","Generally Available","Generally Available","J927","","","https://discovery-center.cloud.sap/ai-feature/75f538ae-e12c-463c-8fa5-c1abfea09bc7/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Managing Supplier Invoices","Enable basic actions on supplier invoices.","SAP S/4HANA Cloud Public Edition","Spend Management","Base","Generally Available","Generally Available","J929","","","https://discovery-center.cloud.sap/ai-feature/1fa927d7-80ce-4b9b-8ea1-8ed95be8b8d3/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Performance Indicators Recommender","Discover metrics relevant for your business.","SAP Signavio solutions","Business Transformation Management","Premium","Generally Available","Generally Available","J120","","","https://discovery-center.cloud.sap/ai-feature/4be4b091-a23d-4f59-975e-65cb6a4a8fc5/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Person Insights for Compensation Discussions","Generate insights into an employee's compensation.","SAP SuccessFactors Employee Central","Human Capital Management","Premium","Generally Available","Generally Available","J40","","","https://discovery-center.cloud.sap/ai-feature/48c886ad-45f2-4263-a249-2584c2b5a877/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Policy Navigator","Provide instant‚ trusted policy answers with natural language.","Concur Expense","Spend Management","Base","Early Adopter Care (EAC)","Early Adopter / EAC","J573","","","https://discovery-center.cloud.sap/ai-feature/2236aa72-6093-4548-8c6e-f2cc7164aa70/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Posting Issue Handling for Billing Documents","Assist billing clerks to efficiently process billing docs with posting issues.","SAP S/4HANA Cloud Public Edition","Financial Management","Base","Generally Available","Generally Available","J355","","","https://discovery-center.cloud.sap/ai-feature/f558354e-8de3-4b95-ae75-4cc5055cf911/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Problem Report Creation","Enable engineers to create structured maintenance reports in natural language.","SAP Integrated Product Development","Supply Chain Management","Base","Generally Available","Generally Available","J1314","","","https://discovery-center.cloud.sap/ai-feature/971035b1-d2a3-4644-8e3a-9ebc79e2dbd2/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Process Recommender","Get instant best practice recommendations.","SAP Signavio solutions","Business Transformation Management","Premium","Generally Available","Generally Available","J121","","","https://discovery-center.cloud.sap/ai-feature/0568e3e9-bef3-46d5-8b51-f519d8838320/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
